SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,player_id,player_name,season,TEAM_ABBREVIATION,TEAM_ID
22000,951,20001171,"APR 17, 2001",MIL @ MIA,L,33,8,15,0.533,5,7,0.714,0,0,0.0,2,4,6,3,0,0,2,1,21,1,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20001164,"APR 16, 2001",MIL @ ORL,W,32,5,9,0.556,1,2,0.5,3,3,1.0,0,1,1,7,0,0,3,5,14,-3,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20001150,"APR 14, 2001",MIL vs. TOR,W,37,12,15,0.8,3,5,0.6,4,4,1.0,0,6,6,4,1,1,1,0,31,14,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20001134,"APR 12, 2001",MIL vs. UTA,W,40,14,23,0.609,8,14,0.571,7,7,1.0,1,4,5,5,2,0,0,2,43,32,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20001118,"APR 10, 2001",MIL vs. CHI,W,29,7,11,0.636,1,4,0.25,1,3,0.333,0,1,1,6,0,0,2,0,16,9,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20001110,"APR 08, 2001",MIL @ SEA,L,41,7,15,0.467,1,6,0.167,5,5,1.0,0,4,4,6,0,0,2,2,20,-2,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20001094,"APR 06, 2001",MIL @ LAC,L,42,5,18,0.278,1,8,0.125,11,12,0.917,0,1,1,3,2,0,3,2,22,5,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20001080,"APR 04, 2001",MIL @ GSW,W,27,11,15,0.733,4,6,0.667,0,0,0.0,0,0,0,0,1,0,2,1,26,19,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20001073,"APR 03, 2001",MIL @ SAC,W,34,8,15,0.533,3,6,0.5,1,1,1.0,0,6,6,3,1,0,3,1,20,7,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20001058,"APR 01, 2001",MIL @ PHX,L,45,11,23,0.478,3,5,0.6,6,7,0.857,1,4,5,6,0,1,7,1,31,-2,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20001051,"MAR 31, 2001",MIL @ SAS,W,41,5,16,0.313,0,3,0.0,4,6,0.667,4,7,11,7,3,0,4,3,14,17,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20001034,"MAR 29, 2001",MIL vs. MIA,W,39,3,12,0.25,1,5,0.2,6,7,0.857,2,6,8,8,3,0,1,1,13,3,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20001011,"MAR 26, 2001",MIL @ PHI,L,37,7,18,0.389,2,7,0.286,2,4,0.5,2,2,4,4,1,0,3,1,18,-11,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20001008,"MAR 25, 2001",MIL vs. ATL,W,43,8,13,0.615,3,5,0.6,8,8,1.0,3,8,11,5,3,0,2,2,27,9,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20000995,"MAR 23, 2001",MIL vs. ORL,W,42,6,9,0.667,2,3,0.667,3,3,1.0,2,8,10,9,1,0,4,4,17,13,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20000981,"MAR 21, 2001",MIL vs. LAL,W,39,6,15,0.4,1,2,0.5,3,3,1.0,0,5,5,5,2,0,4,2,16,5,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20000959,"MAR 18, 2001",MIL @ DET,W,37,6,15,0.4,1,4,0.25,2,2,1.0,4,4,8,3,1,1,2,4,15,7,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20000955,"MAR 17, 2001",MIL vs. PHI,W,46,6,18,0.333,3,7,0.429,5,6,0.833,1,5,6,10,2,0,5,2,20,7,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20000937,"MAR 15, 2001",MIL vs. SEA,L,40,8,12,0.667,1,4,0.25,1,1,1.0,0,0,0,5,0,0,2,2,18,-6,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20000921,"MAR 13, 2001",MIL @ TOR,W,44,10,20,0.5,3,8,0.375,6,8,0.75,1,4,5,7,2,0,2,0,29,2,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20000907,"MAR 11, 2001",MIL @ CLE,L,41,7,19,0.368,4,6,0.667,11,12,0.917,1,2,3,4,2,1,4,2,29,-14,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20000902,"MAR 10, 2001",MIL @ CHH,L,41,14,23,0.609,4,8,0.5,0,0,0.0,1,3,4,4,1,0,2,1,32,-8,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20000875,"MAR 07, 2001",MIL @ BOS,W,35,1,10,0.1,1,3,0.333,11,13,0.846,1,8,9,6,1,0,2,3,14,7,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20000861,"MAR 05, 2001",MIL @ NJN,W,41,10,20,0.5,3,7,0.429,0,0,0.0,1,7,8,4,1,0,2,2,23,12,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20000847,"MAR 03, 2001",MIL vs. CHI,W,47,11,18,0.611,2,8,0.25,3,3,1.0,1,3,4,2,4,0,5,6,27,12,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20000834,"MAR 01, 2001",MIL vs. HOU,L,34,6,15,0.4,1,6,0.167,2,2,1.0,3,3,6,5,1,0,3,2,15,-12,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20000825,"FEB 28, 2001",MIL @ IND,L,39,6,14,0.429,2,5,0.4,2,2,1.0,1,0,1,5,1,0,3,1,16,-10,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20000809,"FEB 26, 2001",MIL @ PHI,W,39,17,23,0.739,6,8,0.75,2,3,0.667,1,8,9,7,0,0,3,3,42,2,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20000805,"FEB 25, 2001",MIL vs. GSW,W,33,5,12,0.417,2,5,0.4,1,1,1.0,0,5,5,8,3,0,1,3,13,26,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20000788,"FEB 23, 2001",MIL vs. VAN,W,39,10,20,0.5,6,11,0.545,3,3,1.0,2,5,7,7,0,1,3,3,29,13,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20000766,"FEB 20, 2001",MIL @ CHI,W,41,14,27,0.519,4,8,0.5,2,3,0.667,4,7,11,4,1,0,3,2,34,16,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20000760,"FEB 19, 2001",MIL vs. SAS,W,39,9,13,0.692,5,6,0.833,0,0,0.0,0,3,3,3,2,0,1,4,23,-4,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20000744,"FEB 17, 2001",MIL vs. CHH,L,41,12,20,0.6,4,7,0.571,2,2,1.0,1,4,5,4,3,0,1,3,30,-6,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20000725,"FEB 14, 2001",MIL @ ATL,W,40,6,15,0.4,2,5,0.4,5,6,0.833,3,6,9,4,2,1,3,1,19,7,0,951,Ray Allen,2000-01,MIL,1610612749
22000,951,20000715,"FEB 13, 2001",MIL vs. PHI,L,42,10,14,0.714,2,3,0.667,5,5,1.0,1,4,5,9,2,1,7,3,27,4,0,951,Ray Allen,2000-01,MIL,1610612749
